User id;Name;Club id;Age
0;Максим;1;20
1;Алексей;1;19
2;Александр;2;1000
3;Глеб;3;30
4;Антон;4;20
5;Андрей;5;20
6;Кирилл;5;21
7;Гасырбек;2;22
8;Бахтияр;3;27
9;Олесь;3;31
10;Михаил;3;45
11;Ира;1;19
12;Константин;2;25
13;Константин;7;27
14;Никита;4;21
15;Илья;1;21
16;Дмитрий;3;41
17;Виталий;5;20
18;Артур;6;28
19;Глеб;5;19
20;Максим;1;20
21;Алексей;2;19
22;Дмитрий;2;17
23;Руслан;3;24
24;Мирон;1;35
25;Фадеев;1;20
26;Дмитрий;2;21
27;Максим;1;16
28;Артур;2;19
29;Андрей;4;18
30;Валиев;5;22
31;Даня;4;17
32;Дима;1;19
33;Никита;2;23
34;Артем;2;22
35;Володя;7;20
36;Р.Иван;3;28
37;Иван;1;19
38;Егор;6;27
39;Макс;1;18
40;Катя;1;19
41;Дмитрий;7;17
42;Илья;7;14
43;Дмитрий;7;13
44;Денис;1;20
45;Алексей;2;22
46;Дмитрий;1;22
47;Саша;3;25
48;Дмитрий;1;19
49;Даниил;4;16
50;Максим;2;24
51;руслан;6;25
52;Леша;3;24
53;уалиев;2;19
54;Костя;7;15
55;Диана;2;18
56;Виталий;6;19
57;Денис;7;17
58;Макс;2;20
59;Петя;2;21
60;Константин;1;29
70;Кирилл;2;24
71;Алена;2;18
72;Руслан;1;21
73;Антон;2;30
74;Тимофей;3;29
75;Зубр;2;14
76;Егор;1;21
77;Леша;2;23
78;Андрей;5;26
79;Даша;2;20
80;Владислав;1;19
81;Дима;2;21
82;Игорь;1;19
83;Юра;2;23
84;Дмитрий;2;19
85;Антон;1;20
86;Яша;;
